match_id,minute,location_y,pass_end_location,period,player,pass_recipient,pass_type,pass_length,second,timestamp,x,endx,y,endy
3895067,13,"(76.7, 56.3)","(84.0, 51.2)",1,Jonathan Tah,Granit Xhaka,,8.905055,45,00:13:45.947,76.7,84.0,56.3,51.2
3895067,13,"(84.0, 51.2)","(76.7, 56.7)",1,Granit Xhaka,Jonathan Tah,,9.140022,46,00:13:46.490,84.0,76.7,51.2,56.7
3895067,13,"(77.1, 57.6)","(87.0, 60.9)",1,Jonathan Tah,Exequiel Alejandro Palacios,,10.435516,49,00:13:49.161,77.1,87.0,57.6,60.9
3895067,13,"(87.0, 60.9)","(76.4, 68.5)",1,Exequiel Alejandro Palacios,Odilon Kossonou,,13.043006,49,00:13:49.998,87.0,76.4,60.9,68.5
3895067,13,"(76.7, 68.5)","(69.1, 61.1)",1,Odilon Kossonou,Jonathan Tah,,10.607545,53,00:13:53.956,76.7,69.1,68.5,61.1
3895067,13,"(69.1, 61.1)","(77.9, 49.1)",1,Jonathan Tah,Granit Xhaka,,14.88086,56,00:13:56.178,69.1,77.9,61.1,49.1
3895067,13,"(82.6, 47.1)","(93.7, 55.6)",1,Granit Xhaka,Jonas Hofmann,,13.980701,57,00:13:57.881,82.6,93.7,47.1,55.6
3895067,13,"(93.7, 56.1)","(94.4, 50.8)",1,Jonas Hofmann,Florian Wirtz,,5.3460264,58,00:13:58.844,93.7,94.4,56.1,50.8
3895067,14,"(104.6, 65.8)","(109.9, 42.7)",1,Jeremie Frimpong,Victor Okoh Boniface,,23.70021,1,00:14:01.457,104.6,109.9,65.8,42.7
3895067,14,"(86.8, 39.4)","(81.1, 32.1)",1,Granit Xhaka,Edmond Fayçal Tapsoba,Recovery,9.261749,7,00:14:07.066,86.8,81.1,39.4,32.1
3895067,14,"(81.1, 32.1)","(79.9, 48.5)",1,Edmond Fayçal Tapsoba,Exequiel Alejandro Palacios,,16.443844,8,00:14:08.135,81.1,79.9,32.1,48.5
3895067,14,"(75.8, 53.8)","(90.8, 52.6)",1,Exequiel Alejandro Palacios,Florian Wirtz,,15.047923,12,00:14:12.149,75.8,90.8,53.8,52.6
3895067,14,"(92.6, 56.3)","(98.8, 54.9)",1,Florian Wirtz,Jeremie Frimpong,,6.3560996,14,00:14:14.790,92.6,98.8,56.3,54.9
3895067,14,"(117.2, 66.7)","(111.3, 46.8)",1,Jeremie Frimpong,Victor Okoh Boniface,,20.756205,20,00:14:20.292,117.2,111.3,66.7,46.8
3895067,14,"(98.4, 58.2)","(90.5, 41.1)",1,Florian Wirtz,Granit Xhaka,,18.836666,37,00:14:37.159,98.4,90.5,58.2,41.1
3895067,14,"(90.2, 42.3)","(87.9, 28.2)",1,Granit Xhaka,Edmond Fayçal Tapsoba,,14.286357,38,00:14:38.821,90.2,87.9,42.3,28.2
3895067,14,"(83.8, 28.0)","(93.7, 36.2)",1,Edmond Fayçal Tapsoba,Alejandro Grimaldo García,,12.85496,40,00:14:40.598,83.8,93.7,28.0,36.2
3895067,14,"(93.7, 35.8)","(104.8, 40.0)",1,Alejandro Grimaldo García,Victor Okoh Boniface,,11.868024,41,00:14:41.057,93.7,104.8,35.8,40.0
3895067,14,"(39.3, 55.8)","(42.1, 69.9)",1,Jonathan Tah,Odilon Kossonou,Recovery,14.375326,48,00:14:48.233,39.3,42.1,55.8,69.9
3895067,14,"(44.2, 69.9)","(52.7, 58.4)",1,Odilon Kossonou,Exequiel Alejandro Palacios,,14.300349,51,00:14:51.086,44.2,52.7,69.9,58.4
3895067,14,"(59.8, 55.2)","(74.4, 44.1)",1,Exequiel Alejandro Palacios,Victor Okoh Boniface,,18.340393,54,00:14:54.396,59.8,74.4,55.2,44.1
3895067,15,"(63.8, 66.8)","(79.6, 72.7)",1,Odilon Kossonou,Jonas Hofmann,Recovery,16.865646,4,00:15:04.785,63.8,79.6,66.8,72.7
3895067,15,"(70.2, 75.4)","(27.1, 53.5)",1,Jonas Hofmann,Lukáš Hrádecký,,48.344803,9,00:15:09.605,70.2,27.1,75.4,53.5
3895067,15,"(27.1, 53.5)","(45.1, 27.1)",1,Lukáš Hrádecký,Edmond Fayçal Tapsoba,,31.952465,12,00:15:12.921,27.1,45.1,53.5,27.1
3895067,15,"(52.9, 17.4)","(69.7, 18.0)",1,Edmond Fayçal Tapsoba,Granit Xhaka,,16.81071,17,00:15:17.194,52.9,69.7,17.4,18.0
3895067,15,"(68.8, 18.3)","(56.2, 14.2)",1,Granit Xhaka,Edmond Fayçal Tapsoba,,13.250283,18,00:15:18.980,68.8,56.2,18.3,14.2
3895067,15,"(63.3, 27.4)","(67.9, 52.9)",1,Granit Xhaka,Odilon Kossonou,,25.911581,26,00:15:26.658,63.3,67.9,27.4,52.9
3895067,15,"(74.1, 52.9)","(82.2, 57.9)",1,Odilon Kossonou,Jonas Hofmann,,9.518929,29,00:15:29.503,74.1,82.2,52.9,57.9
3895067,15,"(111.3, 56.7)","(104.3, 35.3)",1,Florian Wirtz,Alejandro Grimaldo García,,22.515772,33,00:15:33.546,111.3,104.3,56.7,35.3
3895067,16,"(88.7, 10.9)","(116.3, 36.2)",1,Florian Wirtz,,,37.441288,37,00:16:37.147,88.7,116.3,10.9,36.2
3895067,17,"(15.5, 55.2)","(42.5, 74.0)",1,Lukáš Hrádecký,Jeremie Frimpong,,32.900455,12,00:17:12.079,15.5,42.5,55.2,74.0
